id,subject_area
205-02,"Public Health, medizinische Versorgungsforschung, Sozialmedizin"
205-03,Humangenetik
205-04,Physiologie
205-05,Ernährungswissenschaften
205-06,Pathologie
205-07,Klinische Chemie und Pathobiochemie
205-08,Pharmazie
205-09,Pharmakologie
205-10,"Toxikologie, Arbeitsmedizin und Rechtsmedizin"
205-11,Anästhesiologie
205-12,"Kardiologie, Angiologie"
205-13,"Pneumologie, Klinische Infektiologie"
205-14,"Hämatologie, Onkologie, Transfusionsmedizin"
205-15,"Gastroenterologie, Stoffwechsel"
205-16,Nephrologie
205-17,"Endokrinologie, Diabetologie"
205-18,"Rheumatologie, Klinische Immunologie, Allergologie"
205-19,Dermatologie
205-20,Kinder- und Jugendmedizin
205-21,Frauenheilkunde und Geburtshilfe
205-22,Reproduktionsmedizin/ -biologie
205-23,Urologie
205-24,Biogerontologie und Geriatrie
205-25,Allgemein- und Viszeralchirurgie
205-26,"Herz-, Thorax-, Gefäßchirurgie"
205-27,Unfallchirurgie und Orthopädie
205-28,"Zahnheilkunde; Mund-, Kiefer- und Gesichtschirurgie"
205-29,Hals-Nasen-Ohrenheilkunde
205-30,Radiologie und Nuklearmedizin
205-31,Radioonkologie und Strahlenbiologie
205-32,Biomedizinische Technik und Medizinische Physik
206-01,Molekulare Neurowissenschaft und Neurogenetik
206-02,Zelluläre Neurowissenschaft
206-03,Entwicklungsneurobiologie
206-04,"Systemische Neurowissenschaft, Computational Neuroscience, Verhalten"
206-05,Organismische Neurobiologie
206-06,Kognitive Neurowissenschaft
206-07,"Molekulare und Zelluläre Neurologie, Neuropathologie"
206-08,"Klinische Neurowissenschaften I - Neurologie, Neurochirurgie, Neuroradiologie"
206-09,Biologische und molekulare Psychiatrie
206-10,"Klinische Neurowissenschaften II - Psychiatrie, Psychotherapie, Kinder- und Jugendspychiatrie"
206-11,Klinische Neurowissenschaften III - Augenheilkunde
207-01,Bodenwissenschaften
207-02,Pflanzenbau und Agrartechnik
207-03,Pflanzenernährung
207-04,Ökologie von Agrarlandschaften
207-05,Pflanzenzüchtung
207-06,Phytomedizin
207-07,Agrarökonomie und -soziologie
207-08,Forstwissenschaften
207-09,"Tierzucht, Tierhaltung und Tierhygiene"
207-10,Tierernährung und Tierernährungsphysiologie
207-11,Grundlagen der Tiermedizin
207-12,"Grundlagen von Pathogenese, Diagnostik, Therapie und Klinische Tiermedizin"
301-01,"Anorganische Molekülchemie - Synthese, Charakterisierung, Theorie und Modellierung"
301-02,"Organische Molekülchemie - Synthese, Charakterisierung, Theorie und Modellierung"
302-01,"Festkörper- und Oberflächenchemie, Materialsynthese"
302-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung"
302-03,Theorie und Modellierung
303-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen - Spektroskopie, Kinetik"
303-02,Allgemeine Theoretische Chemie
304-01,"Analytik, Methodenentwicklung (Chemie)"
305-01,Biologische und Biomimetische Chemie
305-02,Lebensmittelchemie
306-01,Präparative und Physikalische Chemie von Polymeren
306-02,Experimentelle und Theoretische Polymerphysik
306-03,Polymermaterialien
307-01,Experimentelle Physik der kondensierten Materie
307-02,Theoretische Physik der kondensierten Materie
308-01,"Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen"
309-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder"
310-01,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik"
311-01,Astrophysik und Astronomie
312-01,Mathematik
313-01,Physik und Chemie der Atmosphäre
313-02,"Physik, Chemie und Biologie des Meeres"
314-01,"Geologie, Ingenieurgeologie, Paläontologie"
315-01,Physik des Erdkörpers
315-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie"
316-01,"Organische und Anorganische Geochemie, Biogeochemie, Mineralogie, Petrologie, Kristallographie, Lagerstättenkunde"
317-01,Physische Geographie
317-02,Humangeographie
318-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasser-Ressourcen Bewirtschaftung"
401-01,Spanende Fertigungstechnik
401-02,Ur- und Umformtechnik
401-03,"Füge-, Montage- und Trenntechnik"
401-04,Kunststofftechnik
401-05,Produktionsorganisation und Betriebswissenschaften
401-06,Werkzeugmaschinen und Produktionsautomatisierung
402-01,"Konstruktion, Maschinenelemente, Produktentwicklung"
402-02,Mechanik
402-03,"Leichtbau, Textiltechnik"
402-04,Akustik
403-01,Chemische und Thermische Verfahrenstechnik
403-02,Technische Chemie
403-03,Mechanische Verfahrenstechnik
403-04,Bioverfahrenstechnik
404-01,Energieverfahrenstechnik
404-02,Technische Thermodynamik
404-03,Strömungsmechanik
404-04,Strömungs- und Kolbenmaschinen
405-01,Metallurgische und thermische Prozesse und thermomechanische Behandlung von Werkstoffen
405-02,Keramische und metallische Sinterwerkstoffe
405-03,Verbundwerkstoffe
405-04,Mechanisches Verhalten von Konstruktionswerkstoffen
405-05,Beschichtungs- und Oberflächentechnik
406-01,Thermodynamik und Kinetik von Werkstoffen
406-02,Herstellung und Eigenschaften von Funktionsmaterialien
406-03,Mikrostrukturelle mechanische Eigenschaften von Materialien
406-04,Strukturierung und Funktionalisierung
406-05,Biomaterialien
407-01,"Automatisierungstechnik, Regelungssysteme, Robotik, Mechatronik, Cyber Physical Systems"
407-02,Messsysteme
407-03,Mikrosysteme
407-04,"Verkehrs- und Transportsysteme, Logistik, Intelligenter und automatisierter Verkehr"
407-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme"
407-06,Biomedizinische Systemtechnik
408-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme"
408-02,"Nachrichten- und Hochfrequenztechnik, Kommunikationstechnik und -netze, Theoretische Elektrotechnik"
408-03,"Elektrische Energieerzeugung, -übertragung, -verteilung und -anwendung"
409-01,Theoretische Informatik
409-02,Softwaretechnik und Programmiersprachen
409-03,Sicherheit und Verlässlichkeit
409-04,"Betriebs-, Kommunikations-, Datenbank- und verteilte Systeme"
409-05,"Interaktive und intelligente Systeme, Bild- und Sprachverarbeitung, Computergraphik und Visualisierung"
409-06,"Informationssysteme, Prozess- und Wissensmanagement"
409-07,Rechnerarchitekturen und eingebettete Systeme
409-08,Massiv parallele und datenintensive Systeme
410-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen"
410-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung"
410-03,"Baustoffwissenschaften, Bauchemie, Bauphysik"
410-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb"
410-05,"Angewandte Mechanik, Statik und Dynamik"
410-06,"Geotechnik, Wasserbau"
